proposer,dataset,detection,scoring,strata,alpha,delta,seeds,errors_before,n_test,edr_apply_all,edr_apply_all_min,apply_all_negative_seeds,edr_care,edr_care_min,care_negative_seeds,edr_care_table,n_auto,n_changes,fixes,breaks,still_wrong,bound_violations,bound_violations_while_covered
Jellyfish,tax,oracle,detected,mondrian,0.2,0.1,10,9380,9380,0.0234,0.0223,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,hospital,oracle,detected,mondrian,0.05,0.1,10,306,306,0.4464,0.4216,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,hospital,oracle,detected,mondrian,0.1,0.1,10,306,306,0.4464,0.4216,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,hospital,oracle,detected,mondrian,0.2,0.1,10,306,306,0.4464,0.4216,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,beers,oracle,detected,mondrian,0.05,0.1,10,2016,2016,0.0705,0.0685,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,beers,oracle,detected,mondrian,0.1,0.1,10,2016,2016,0.0705,0.0685,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,beers,oracle,detected,mondrian,0.2,0.1,10,2016,2016,0.0705,0.0685,0,0.0382,0.0382,0,0.0229,77,77,77,0,0,0,0
GPT-4o-mini,flights,oracle,detected,mondrian,0.05,0.1,10,2942,2942,0.0766,0.0683,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,flights,oracle,detected,mondrian,0.1,0.1,10,2942,2942,0.0766,0.0683,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
GPT-4o-mini,flights,oracle,detected,mondrian,0.2,0.1,10,2942,2942,0.0766,0.0683,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
